"date","type","likes_count_fb","comments_count_fb","shares_count_fb","sentiment","valence","post_link"
"2015-10-27","photo",2415,238,499,"negative",-3,"https://www.facebook.com/77249349077/posts/10153782437474078"
"2015-10-27","photo",1812,320,383,"neutral",0,"https://www.facebook.com/77249349077/posts/10153782732379078"
"2015-10-28","link",857,372,95,"neutral",0,"https://www.facebook.com/77249349077/posts/10153784080269078"
"2015-10-30","video",830,189,977,"neutral",0,"https://www.facebook.com/77249349077/posts/10153787577674078"
"2015-10-30","link",719,569,135,"negative",-1,"https://www.facebook.com/77249349077/posts/10153788006249078"
"2015-11-02","photo",793,286,106,"positive",1,"https://www.facebook.com/77249349077/posts/10153793933449078"
"2015-11-03","photo",72,39,0,"positive",1,"https://www.facebook.com/77249349077/posts/10153795293599078"
"2015-11-03","photo",65,21,0,"positive",1,"https://www.facebook.com/77249349077/posts/10153795387614078"
"2015-11-03","photo",1945,473,430,"negative",-2,"https://www.facebook.com/77249349077/posts/10153795392224078"
"2015-11-04","video",866,194,328,"neutral",0,"https://www.facebook.com/77249349077/posts/10153796728739078"
"2015-11-04","link",1157,403,351,"positive",2,"https://www.facebook.com/77249349077/posts/10153796933009078"
"2015-11-05","video",504,133,347,"neutral",0,"https://www.facebook.com/77249349077/posts/10153798462664078"
"2015-11-05","link",535,574,98,"neutral",0,"https://www.facebook.com/77249349077/posts/10153798599339078"
"2015-11-09","link",565,457,131,"negative",-1,"https://www.facebook.com/77249349077/posts/10153805928679078"
"2015-11-10","link",508,463,254,"neutral",0,"https://www.facebook.com/77249349077/posts/10153807636374078"
"2015-11-10","link",1861,698,263,"neutral",0,"https://www.facebook.com/77249349077/posts/10153808265854078"
"2015-11-12","photo",1130,226,143,"neutral",0,"https://www.facebook.com/77249349077/posts/10153811450094078"
"2015-11-13","photo",1250,582,282,"neutral",0,"https://www.facebook.com/77249349077/posts/10153812881464078"
"2015-11-15","link",927,700,132,"positive",1,"https://www.facebook.com/77249349077/posts/10153816409824078"
"2015-11-18","photo",1534,494,644,"positive",2,"https://www.facebook.com/77249349077/posts/10153821860879078"
"2015-11-18","photo",1042,437,352,"positive",2,"https://www.facebook.com/77249349077/posts/10153822003254078"
"2015-11-18","link",3526,1444,550,"negative",-7,"https://www.facebook.com/77249349077/posts/10153822405609078"
"2015-11-18","link",923,409,91,"neutral",0,"https://www.facebook.com/77249349077/posts/10153822485849078"
"2015-11-19","link",1771,768,258,"positive",2,"https://www.facebook.com/77249349077/posts/10153824382219078"
"2015-11-20","video",1642,542,438,"positive",1,"https://www.facebook.com/77249349077/posts/10153826192004078"
"2015-11-20","link",348,357,46,"neutral",0,"https://www.facebook.com/77249349077/posts/10153826433119078"
